species	date_collected_YYYYMMDD	plot	sex 	scale_calibrated	weight_grams
DM	20130716	2	F	yes	
DM	20130716	7	M	yes	33
DM	20130716	3	M	yes	
DM	20130716	1	M	yes	
DM	20130718	3	M	yes	40
DM	20130718	7	M	yes	48
DM	20130718	4	F	yes	29
DM	20130718	6	F	yes	37
DO	20130819	8	F	yes	52
DO	20131017	3	F	yes	33
DO	20131017	3	F	yes	50
DO	20131210	9	F	yes	40
DO	20131210	1	M	yes	45
DO	20131211	8	F	yes	41
DS	20131112	9	F	yes	117
DS	20131113	11	F	yes	126
DS	20131113	17	M	no	132
DS	20131113	14	F	no	113
DS	20131113	11	F	yes	122
DS	20131113	4	F	yes	107
DS	20131113	4	F	yes	115
DM	20140109	1	M	yes	40
DM	20140109	1	F	yes	36
DM	20140313	1	F	yes	51
DM	20140313	1	F	yes	44
DS	20140313	1	F	yes	146
NA	20140108	2			
DM	20140108	2	M	yes	44
PF	20140108	2	F	yes	7
DM	20140108	2	M	yes	45
OT	20140108	2			
DS	20140108	2	M	no	157
OX	20140108	2			
NA	20140218	2	M	no	218
PF	20140218	2	F	yes	7
DM	20140218	2	M	yes	52
PF	20140311	3	M	yes	8
NA	20140408	3	F		
	20140506	3			
NA	20140518	3	F	yes	182
OT	20140609	3	F	yes	29
NA	20140708	3	F	yes	115
NA	20140708	3	M	yes	190
DM	19780108	4	F	yes	37
DM	19780108	4	M	yes	
DM	19780108	4	F	yes	48
DO	19780108	4	M	yes	52
OL	19780108	4	M	yes	35
